Tieu_de,gia,Tinh_trang,Km_da_di,Hop_so,Nhien_lieu,Nguoi_ban,Dong_xe,Nam_san_xuat,Dan_dong,Mau_xe,Xuat_xu,Link_image
Xe Mới Toyota Corolla Altis 1.8G 2018,733 triệu,Mới,0 km,Số tự động,Xăng,Đại lý,Sedan,2018,FWD: Cầu trước,Cát cháy,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Toyota Prado AT 2018,2.34 tỷ ,Mới,0 km,Số tự động,Xăng,Đại lý,SUV,2018,4WD: 4 bánh,Xám bạc,Nhập khẩu,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Toyota Land Cruiser VX 2018,3.65 tỷ ,Mới,0 km,Số tự động,Xăng,Đại lý,SUV,2018,4WD: 4 bánh,Bóc Đô,Nhập khẩu,"['https://choxe.net/uploads/auto/255728/gallery/936x624-d185c343f8f516ab4fe4.jpg', 'https://choxe.net/uploads/auto/255728/gallery/936x624-59f4fc33c78529db7094.jpg', 'https://choxe.net/uploads/auto/255728/gallery/936x624-047615b12e07c0599916.jpg', 'https://choxe.net/uploads/auto/255728/gallery/936x624-aa82df44e4f20aac53e3.jpg', 'https://choxe.net/uploads/auto/255728/gallery/936x624-47d69d10a6a648f811b7.jpg', 'https://choxe.net/uploads/auto/255728/gallery/936x624-b94dd98ae23c0c62552d.jpg', 'https://choxe.net/uploads/auto/255728/gallery/936x624-7f8135450ef3e0adb9e2.jpg', 'https://choxe.net/uploads/auto/255728/gallery/936x624-ec2f1feb245dca03934c.jpg']"
Xe Mới Toyota Innova 2.0V 2018,925 triệu,Mới,0 km,Số tự động,Xăng,Đại lý,SUV,2018,RWD: Cầu sau,Xám,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Toyota Innova 2.0E MT 2018,720 triệu,Mới,0 km,Số sàn,Xăng,Đại lý,SUV,2018,RWD: Cầu sau,Xám bạc,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Toyota Fortuner G MT 2018,1.034 tỷ ,Mới,0 km,Số sàn,Dầu,Đại lý,SUV,2018,RWD: Cầu sau,Trắng,Nhập khẩu,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Toyota Fortuner V 4x4 AT 2018,1.362 tỷ ,Mới,0 km,Số tự động,Xăng,Đại lý,SUV,2018,4WD: 4 bánh,Trắng,Nhập khẩu,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Toyota Camry 2.0E 2018,977 triệu,Mới,0 km,Số tự động,Xăng,Đại lý,Sedan,2018,FWD: Cầu trước,Đen,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới KIA Morning 1.5AT 2018,390 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Hatchback,2018,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Toyota Corolla Altis 1.8E CVT 2018,687 triệu,Mới,0 km,Số tự động,Xăng,Đại lý,Sedan,2018,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Toyota Corolla Altis 1.8E MT 2018,658 triệu,Mới,0 km,Số sàn,Xăng,Đại lý,Sedan,2018,FWD: Cầu trước,Đen,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Toyota Corolla Altis 2.0V 2018,844 triệu,Mới,0 km,Số tự động,Xăng,Đại lý,Sedan,2018,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Toyota Camry 2.5G 2018,1.14 tỷ ,Mới,0 km,Số tự động,Xăng,Đại lý,Sedan,2018,FWD: Cầu trước,Bạc,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Toyota Corolla Altis 2.0V Sprort 2018,875 triệu,Mới,0 km,Số tự động,Xăng,Đại lý,Sedan,2018,FWD: Cầu trước,Đen,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Ford Fiesta Sport 2018,510 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Hatchback,2018,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới KIA Cerato AT 2018,589 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Sedan,2018,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Toyota Camry 2.5Q 2018,1.282 tỷ ,Mới,0 km,Số tự động,Xăng,Đại lý,Sedan,2018,FWD: Cầu trước,Đen,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Nissan X-Trail 2.0L Mid 2018,878 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2018,FWD: Cầu trước,Đỏ,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Chevrolet Aveo LT MT 1.4L 2018,459 triệu,Mới,0 km,Số sàn,Xăng,Đại lý,Sedan,2018,FWD: Cầu trước,Đỏ,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Suzuki Carry Pro Thùng Mui Bạt 2018,334 triệu,Mới,0 km,Số sàn,Xăng,Đại lý,Xe tải nhỏ,2018,RWD: Cầu sau,Trắng,Nhập khẩu,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Chevrolet Cruze LT 2018,589 triệu,Mới,0 km,Số sàn,Xăng,Cá nhân,Sedan,2018,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Toyota Innova 2008,380 triệu,Mới,0 km,Số sàn,Xăng,Cá nhân,Bán tải,2008,FWD: Cầu trước,Xám,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Toyota Corolla Altis 1.8G CVT 2018,730 triệu,Mới,0 km,Số tự động,Xăng,Đại lý,Sedan,2018,FWD: Cầu trước,Đen,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Toyota Corolla Altis 1.8G CVT 2018,730 triệu,Mới,0 km,Số tự động,Xăng,Đại lý,Sedan,2018,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Toyota Corolla Altis 1.8G CVT 2018,730 triệu,Mới,0 km,Số tự động,Xăng,Đại lý,Sedan,2018,FWD: Cầu trước,Bạc,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Toyota Innova 2.0v AT Màu đồng 2018,915 triệu,Mới,0 km,Số tự động,Xăng,Đại lý,MPV,2018,RWD: Cầu sau,Nâu,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Toyota Innova 2.0v AT 2018,920 triệu,Mới,0 km,Số tự động,Xăng,Đại lý,MPV,2018,RWD: Cầu sau,Bạc,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Toyota Innova 2.0G AT 2018,792 triệu,Mới,0 km,Số tự động,Xăng,Đại lý,MPV,2018,RWD: Cầu sau,Xám bạc,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Toyota Innova 2.0G AT 2018,792 triệu,Mới,0 km,Số tự động,Xăng,Đại lý,MPV,2018,RWD: Cầu sau,Bạc,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Hyundai HD 99- THÙNG ĐÔNG LẠNH 2018,179 triệu,Mới,0 km,Số sàn,Dầu,Đại lý,Xe tải,2018,RWD: Cầu sau,Trắng,Nhập khẩu,"['https://choxe.net/uploads/auto/254957/gallery/936x624-936x624-ban-o-to-moi-hyundai-hd-99-dong-lanh-doi-2017-38659504634.jpg', 'https://choxe.net/uploads/auto/254957/gallery/936x624-936x624-ban-o-to-moi-hyundai-hd-99-dong-lanh-doi-2017-38659504639.jpg', 'https://choxe.net/uploads/auto/254957/gallery/936x624-936x624-ban-o-to-moi-hyundai-hd-99-dong-lanh-doi-2017-38659504636.jpg', 'https://choxe.net/uploads/auto/254957/gallery/936x624-936x624-ban-o-to-moi-hyundai-hd-99-dong-lanh-doi-2017-38659504637.jpg', 'https://choxe.net/uploads/auto/254957/gallery/936x624-936x624-ban-o-to-moi-hyundai-hd-99-dong-lanh-doi-2017-38659504640.jpg', 'https://choxe.net/uploads/auto/254957/gallery/936x624-936x624-ban-o-to-moi-hyundai-hd-99-dong-lanh-doi-2017-38659504641.jpg']"
Xe Mới Hyundai HD 99-7T 2018,169 triệu,Mới,0 km,Số sàn,Dầu,Đại lý,Xe tải,2018,RWD: Cầu sau,Xanh,Nhập khẩu,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Hyundai HD 99-THÙNG KÍN 2018,179 triệu,Mới,0 km,Số sàn,Dầu,Đại lý,Xe tải,2018,RWD: Cầu sau,Trắng,Nhập khẩu,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Hyundai HD 99-7T MUI BẠT INOX 2018,159 triệu,Mới,0 km,Số sàn,Dầu,Đại lý,Xe tải,2018,RWD: Cầu sau,Xanh,Nhập khẩu,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Chevrolet Aveo MT 2018,459 triệu,Mới,0 km,Số sàn,Xăng,Đại lý,Sedan,2018,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
"Xe Mới Hãng Khác Xe Tải Đô Thành IZ49TMB 2,3 Tấn 2017",390 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe tải,2017,FWD: Cầu trước,Xanh,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Hyundai HD 700 2017,775 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe tải,2017,RWD: Cầu sau,Trắng,Nhập khẩu,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
Xe Mới Chevrolet Cruze LTZ 1.8 2018,699 triệu,Mới,0 km,Số tự động,Xăng,Đại lý,Sedan,2018,FWD: Cầu trước,Đen,Trong nước,"['https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png', 'https://choxe.nethttps://choxe.net/assets/frontend/img/choxe-logo-avatar-2.png']"
